Def 1,Def 2,Sentence,DocID,LineNumber
acquirer,bank," In respect of any acquisition of or increase in voting rights pursuant to exemption provided for in clause (a) of sub-regulation (1), sub-clause (iii) of clause (d) of sub- regulation (1), clause (h) of sub-regulation (1), sub-regulation (2), sub-regulation (3) and clause (c) of sub-regulation (4), clauses (a), (b) and (f) of sub-regulation (4), the acquirer shall, within twenty-one working days of the date of acquisition, submit a report in such form as may be specified along with supporting documents to the Board giving all details in respect of acquisitions, along with a non-refundable fee of rupees 49 [one lakh fifty thousand] 50 [by way of direct credit in the bank account through NEFT/RTGS/IMPS or any other mode allowed by RBI or] by way of a banker’s cheque or demand draft payable in Mumbai in favour of the Board.",1591594726590.htmlTxt,409
acquirer,bank," The acquirer or the target company, as the case may be, shall along with the application referred to under sub-regulation (3) pay a non-refundable fee of rupees 51 [five lakh], 52 [by way of direct credit in the bank account through NEFT/RTGS/IMPS or any other mode allowed by RBI or] by way of a banker’s cheque or demand draft payable in Mumbai in favour of the Board.",1591594726590.htmlTxt,425
acquirer,bank,"  Within five working days from the date of the detailed public statement made under sub-regulation (4) of regulation 13, the acquirer shall, through the manager to the open offer, file with the Board, a draft of the letter of offer containing such information as may be specified along with a non-refundable fee, as per the following scale, 56[by way of direct credit in the bank account through NEFT/RTGS/IMPS or any other mode allowed by RBI or] by way of a banker’s cheque or demand draft payable in Mumbai in favour of the Board,—",1591594726590.htmlTxt,494
acquirer,bank," In the event of the escrow account being created by way of a bank guarantee or by deposit of securities, the acquirer shall also ensure that at least one per cent of the total consideration payable is deposited in cash with a scheduled commercial bank as a part of the escrow account.",1591594726590.htmlTxt,687
acquirer,bank," For such part of the escrow account as is in the form of a cash deposit with a scheduled commercial bank, the acquirer shall while opening the account, empower the manager to the open offer to instruct the bank to issue a banker’s cheque or demand draft or to make payment of the amounts lying to the credit of the escrow account, in accordance with requirements under these regulations.",1591594726590.htmlTxt,688
acquirer,board," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company, under preferential issue, shall be made on the date on which 53 [the board of directors of the target company authorises such preferential issue.];",1591594726590.htmlTxt,452
acquirer,board,"  During the offer period, no person representing the acquirer or any person acting in concert with him shall be appointed as director on the board of directors of the target company, whether as an additional director or in a casual vacancy:",1591594726590.htmlTxt,815
acquirer,board,"Provided that after an initial period of fifteen working days from the date of detailed public statement, appointment of persons representing the acquirer or persons acting in concert with him on the board of directors may be effected in the event the acquirer deposits in cash in the escrow account referred to in regulation 17, 67[the entire] consideration payable under the open offer:",1591594726590.htmlTxt,816
acquirer,board,"Provided further that where the acquirer has specified conditions to which the open offer is subject in terms of clause (c) of sub-regulation (1) of regulation 23, no director representing the acquirer may be appointed to the board of directors of the target company during the offer period unless the acquirer has waived or attained such conditions and complies with the requirement of depositing cash in the escrow account.",1591594726590.htmlTxt,817
acquirer,board,the acquirer or any person acting in concert with him on the board of directors of the target company during the offer period.,1591594726590.htmlTxt,821
acquirer,board," During the pendency of competing offers, notwithstanding anything contained in these regulations, and regardless of the size of the cash deposited in the escrow account referred to in regulation 17, by any acquirer or person acting in concert with him, there shall be no induction of any new director to the board of directors of the target company:",1591594726590.htmlTxt,822
acquirer,board," In the event the acquirer or any person acting in concert is already represented by a director on the board of the target company, such director shall not participate in any deliberations of the board of directors of the target company or vote on any matter in",1591594726590.htmlTxt,824
acquirer,board, The board of directors of the target company shall facilitate the acquirer in verification of shares tendered in acceptance of the open offer.,1591594726590.htmlTxt,860
acquirer,board," The board of directors of the target company shall make available to all acquirers making competing offers, any information and co-operation provided to any acquirer who has made a competing offer.",1591594726590.htmlTxt,861
acquirer,board," Upon fulfillment by the acquirer, of the conditions required under these regulations, the board of directors of the target company shall without any delay register the transfer of shares acquired by the acquirer in physical form, whether under the agreement or from open market purchases, or pursuant to the open offer.",1591594726590.htmlTxt,862
acquirer,book building," on account of the acquirer rejecting the discovered price determined by the book building process in terms of sub-regulation (1) of regulation 16 of Securities and Exchange Board of India (Delisting of Equity Shares) Regulations, 2009,",1591594726590.htmlTxt,151
acquirer,building," on account of the acquirer rejecting the discovered price determined by the book building process in terms of sub-regulation (1) of regulation 16 of Securities and Exchange Board of India (Delisting of Equity Shares) Regulations, 2009,",1591594726590.htmlTxt,151
acquirer,company," banks, financial advisors and stock brokers of the acquirer, or of any company which is a holding company or subsidiary of the acquirer, and where the acquirer is an individual, of the immediate relative of such individual:",1591594726590.htmlTxt,67
acquirer,consideration," In the event the offer price consists of consideration to be paid by issuance of securities, which requires compliance with any applicable law, the acquirer shall ensure that such compliance is completed not later than the commencement of the tendering period:",1591594726590.htmlTxt,267
acquirer,consideration,"Provided that in case the requisite compliance is not made by such date, the acquirer shall pay the entire consideration in cash.",1591594726590.htmlTxt,271
acquirer,consideration," In the event of the escrow account being created by way of a bank guarantee or by deposit of securities, the acquirer shall also ensure that at least one per cent of the total consideration payable is deposited in cash with a scheduled commercial bank as a part of the escrow account.",1591594726590.htmlTxt,687
acquirer,consideration," the entire amount to the acquirer upon the expiry of thirty days from the completion of payment of consideration to shareholders who have tendered their shares in acceptance of the open offer, upon certification by the manager to the open offer, where the open offer is for exchange of shares or other secured instruments;",1591594726590.htmlTxt,702
acquirer,consideration," The acquirer shall, within ten working days from the last date of the tendering period, complete all requirements under these regulations and other applicable law relating to the open offer including payment of consideration to the shareholders who have accepted the open offer.",1591594726590.htmlTxt,736
acquirer,consideration,"  For the amount of consideration payable in cash, the acquirer shall open a special escrow account with a banker to an issue registered with the Board and deposit",1591594726590.htmlTxt,770
acquirer,consideration,"therein, such sum as would, together with cash transferred under clause (b) of sub-regulation (10) of regulation 17, make up the entire sum due and payable to the shareholders as consideration payable under the open offer, and empower the manager to the offer to operate the special escrow account on behalf of the acquirer for the purposes under these regulations.",1591594726590.htmlTxt,773
acquirer,consideration," Subject to provisos to sub-regulation (11) of regulation 18, the acquirer shall complete payment of consideration whether in the form of cash, or as the case may be, by issue, exchange or transfer of securities, to all shareholders who have tendered shares in acceptance of the open offer, within ten working days of the expiry of the tendering period.",1591594726590.htmlTxt,774
acquirer,consideration," Notwithstanding anything contained in sub-regulation (1), subject to the acquirer depositing in the escrow account under regulation 17, cash of an amount equal to 64 [the entire] consideration payable under the open offer assuming full acceptance of the open offer, the parties to such agreement may after the expiry of twenty-one working days from the date of detailed public statement, act upon the agreement and the acquirer may complete the acquisition of shares or voting",1591594726590.htmlTxt,783
acquirer,consideration,"Provided that after an initial period of fifteen working days from the date of detailed public statement, appointment of persons representing the acquirer or persons acting in concert with him on the board of directors may be effected in the event the acquirer deposits in cash in the escrow account referred to in regulation 17, 67[the entire] consideration payable under the open offer:",1591594726590.htmlTxt,816
acquirer,consideration," directing the acquirer who has failed to make payment of the open offer consideration to shareholders, not to make any open offer or enter into any transaction that would attract the obligation to make an open offer in respect of shares of any target company for such period as the Board may deem fit;",1591594726590.htmlTxt,946
acquirer,consideration," directing the acquirer who has made an open offer but has delayed making payment of the open offer consideration to shareholders, to pay interest at such rate as considered appropriate by the Board for the delayed period;",1591594726590.htmlTxt,948
acquirer,credit rating agency," by issue, exchange or transfer of listed secured debt instruments issued by the acquirer or any person acting in concert with a rating not inferior to investment grade as rated by a credit rating agency registered with the Board;",1591594726590.htmlTxt,251
acquirer,exercise,"  No acquirer shall acquire shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, entitle them to exercise twenty-five per cent or more of the voting rights in such target company unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company in accordance with these regulations.",1591594726590.htmlTxt,111
acquirer,exercise," No acquirer, who together with persons acting in concert with him, has acquired and holds in accordance with these regulations shares or voting rights in a target company entitling them to exercise twenty-five per cent or more of the voting rights in the target company but less than the maximum permissible non-public shareholding, shall acquire within any financial year additional shares or voting rights in such target company entitling them to exercise more than five per cent of the voting rights, unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company in accordance with these regulations:",1591594726590.htmlTxt,117
acquirer,exercise," The open offer made under regulation 6 shall be for acquisition of at least such number of shares as would entitle the holder thereof to exercise an additional ten per cent of the 19[voting rights in] the target company, and shall not exceed such number of shares as would result in the post-acquisition holding of the acquirer and persons acting in concert with him exceeding the maximum permissible non- public shareholding applicable to such target company:",1591594726590.htmlTxt,190
acquirer,exercise," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company upon converting convertible securities without a fixed date of conversion or upon conversion of depository receipts for the underlying shares of the target company shall be made on the same day as the date of exercise of the option to convert such",1591594726590.htmlTxt,445
acquirer,exercise,"Explanation.— It is clarified that in the event the acquirer does not succeed in acquiring the ability to exercise or direct the exercise of voting rights in, or control over the target company, the acquirer shall not be required to make a detailed public statement of an open offer for acquiring shares under these",1591594726590.htmlTxt,470
acquirer,exercise," directing the acquirer or any person acting in concert, or any nominee or proxy not to exercise any voting or other rights attached to shares acquired in violation of these regulations;",1591594726590.htmlTxt,941
acquirer,firm," 5(1) Prior to making the public announcement of an open offer for acquiring shares under these regulations, the acquirer shall ensure that firm financial arrangements have been made for fulfilling the payment obligations under the open offer and that the acquirer is able to implement the open offer, subject to any statutory approvals for the open offer that may be necessary.",1591594726590.htmlTxt,827
acquirer,firm, firm arrangements for funds through verifiable means have been made by the acquirer to meet the payment obligations under the open offer.,1591594726590.htmlTxt,867
acquirer,form," In respect of acquisitions under clause (a) of sub-regulation (1), and clauses (e) and (f) of sub-regulation (4), the acquirer shall intimate the stock exchanges where the shares of the target company are listed, the details of the proposed acquisition in such form as may be specified, at least four working days prior to the proposed acquisition, and the stock exchange shall forthwith disseminate such information to the public.",1591594726590.htmlTxt,401
acquirer,form," In respect of any acquisition of or increase in voting rights pursuant to exemption provided for in clause (a) of sub-regulation (1), sub-clause (iii) of clause (d) of sub- regulation (1), clause (h) of sub-regulation (1), sub-regulation (2), sub-regulation (3) and clause (c) of sub-regulation (4), clauses (a), (b) and (f) of sub-regulation (4), the acquirer shall, within twenty-one working days of the date of acquisition, submit a report in such form as may be specified along with supporting documents to the Board giving all details in respect of acquisitions, along with a non-refundable fee of rupees 49 [one lakh fifty thousand] 50 [by way of direct credit in the bank account through NEFT/RTGS/IMPS or any other mode allowed by RBI or] by way of a banker’s cheque or demand draft payable in Mumbai in favour of the Board.",1591594726590.htmlTxt,409
acquirer,form," For such part of the escrow account as is in the form of a cash deposit with a scheduled commercial bank, the acquirer shall while opening the account, empower the manager to the open offer to instruct the bank to issue a banker’s cheque or demand draft or to make payment of the amounts lying to the credit of the escrow account, in accordance with requirements under these regulations.",1591594726590.htmlTxt,688
acquirer,form," For such part of the escrow account as is in the form of securities, the acquirer shall empower the manager to the open offer to realise the value of such escrow account by sale or otherwise, and in the event there is any shortfall in the amount required to be",1591594726590.htmlTxt,690
acquirer,form,"Provided that where local laws or regulations of any jurisdiction outside India may expose the acquirer or the target company to material risk of civil, regulatory or criminal liabilities in the event the letter of offer in its final form were to be sent without material amendments or modifications into such jurisdiction, and the shareholders resident in such jurisdiction hold shares entitling them to less than five per cent of the voting rights of the target",1591594726590.htmlTxt,714
acquirer,form," The acquirer shall disclose during the offer period every acquisition made by the acquirer or persons acting in concert with him of any shares of the target company in such form as may be specified, to each of the stock exchanges on which the shares of the target company are listed and to the target company at its registered office within twenty-four hours of such acquisition, and the stock exchanges shall forthwith disseminate such information to the public:",1591594726590.htmlTxt,725
acquirer,form," The acquirer shall issue an advertisement in such form as may be specified, one working day before the commencement of the tendering period, announcing the schedule of activities for the open offer, the status of statutory and other approvals, if any, whether for the acquisition attracting the obligation to make an open offer under these regulations or for the open offer, unfulfilled conditions, if any, and their status, the procedure for tendering acceptances and such other material detail as may be specified:",1591594726590.htmlTxt,730
acquirer,form, (a) The acquirer shall issue a post offer advertisement in such form as may be,1591594726590.htmlTxt,742
acquirer,form," Subject to provisos to sub-regulation (11) of regulation 18, the acquirer shall complete payment of consideration whether in the form of cash, or as the case may be, by issue, exchange or transfer of securities, to all shareholders who have tendered shares in acceptance of the open offer, within ten working days of the expiry of the tendering period.",1591594726590.htmlTxt,774
acquirer,form,"  Any acquirer who acquires shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, aggregating to five per cent or more of the shares of such target company, shall disclose their aggregate shareholding and voting rights in such target company in such form as may be specified.",1591594726590.htmlTxt,886
acquirer,immediate relative," banks, financial advisors and stock brokers of the acquirer, or of any company which is a holding company or subsidiary of the acquirer, and where the acquirer is an individual, of the immediate relative of such individual:",1591594726590.htmlTxt,67
acquirer,manager," The price parameters under sub-regulation (2) and sub-regulation (3) may be adjusted by the acquirer in consultation with the manager to the offer, for corporate actions such as issuances pursuant to rights issue, bonus issue, stock consolidations, stock splits, payment of dividend, de-mergers and reduction of capital, where the",1591594726590.htmlTxt,232
acquirer,manager,"  Prior to making a public announcement, the acquirer shall appoint a merchant banker registered with the Board, who is not an associate of the acquirer, as the manager to the open offer.",1591594726590.htmlTxt,436
acquirer,manager, The public announcement of the open offer for acquiring shares required under these regulations shall be made by the acquirer through such manager to the,1591594726590.htmlTxt,438
acquirer,manager,"  Within five working days from the date of the detailed public statement made under sub-regulation (4) of regulation 13, the acquirer shall, through the manager to the open offer, file with the Board, a draft of the letter of offer containing such information as may be specified along with a non-refundable fee, as per the following scale, 56[by way of direct credit in the bank account through NEFT/RTGS/IMPS or any other mode allowed by RBI or] by way of a banker’s cheque or demand draft payable in Mumbai in favour of the Board,—",1591594726590.htmlTxt,494
acquirer,manager," the entire amount to the acquirer upon the expiry of thirty days from the completion of payment of consideration to shareholders who have tendered their shares in acceptance of the open offer, upon certification by the manager to the open offer, where the open offer is for exchange of shares or other secured instruments;",1591594726590.htmlTxt,702
acquirer,manager,"therein, such sum as would, together with cash transferred under clause (b) of sub-regulation (10) of regulation 17, make up the entire sum due and payable to the shareholders as consideration payable under the open offer, and empower the manager to the offer to operate the special escrow account on behalf of the acquirer for the purposes under these regulations.",1591594726590.htmlTxt,773
acquirer,manager," In the event of withdrawal of the open offer, the acquirer shall through the manager to the open offer, within two working days,—",1591594726590.htmlTxt,804
acquirer,manager to the open offer," where the shares are not frequently traded, the price determined by the acquirer and the manager to the open offer taking into account valuation parameters including, book value, comparable trading multiples, and such other parameters as are customary for valuation of shares of such companies; and",1591594726590.htmlTxt,209
acquirer,manager to the open offer," In the event the offer price is incapable of being determined under any of the parameters specified in sub-regulation (3), without prejudice to the requirements of sub-regulation (5), the offer price shall be the fair price of shares of the target company to be determined by the acquirer and the manager to the open offer taking into account valuation parameters including, book value, comparable trading multiples, and such other parameters as are customary for valuation of shares of such companies.",1591594726590.htmlTxt,219
acquirer,manager to the open offer," The offer price for equity shares carrying differential voting rights shall be determined by the acquirer and the manager to the open offer with full disclosure of justification for the price so determined, being set out in the detailed public statement and the letter of offer:",1591594726590.htmlTxt,242
acquirer,manager to the open offer," Pursuant to the public announcement made under sub-regulation (1) and sub- regulation (3), a detailed public statement shall be published by the acquirer through the manager to the open offer in accordance with regulation 14 and regulation 15, not later than five working days of the public announcement:",1591594726590.htmlTxt,468
acquirer,manager to the open offer,"Provided further that in the event the Board specifies any changes, the manager to the open offer and the acquirer shall carry out such changes in the letter of offer before it is dispatched to the shareholders.",1591594726590.htmlTxt,645
acquirer,manager to the open offer," For such part of the escrow account as is in the form of a cash deposit with a scheduled commercial bank, the acquirer shall while opening the account, empower the manager to the open offer to instruct the bank to issue a banker’s cheque or demand draft or to make payment of the amounts lying to the credit of the escrow account, in accordance with requirements under these regulations.",1591594726590.htmlTxt,688
acquirer,manager to the open offer," For such part of the escrow account as is in the form of securities, the acquirer shall empower the manager to the open offer to realise the value of such escrow account by sale or otherwise, and in the event there is any shortfall in the amount required to be",1591594726590.htmlTxt,690
acquirer,manager to the open offer," In the event of non-fulfillment of obligations under these regulations by the acquirer the Board may direct the manager to the open offer to forfeit the escrow account or any amounts lying in the special escrow account, either in full or in part.",1591594726590.htmlTxt,695
acquirer,maximum permissible non-public shareholding, directing divestiture of such number of shares as would result in the shareholding of an acquirer and persons acting in concert with him being limited to the maximum permissible non-public shareholding or below.,1591594726590.htmlTxt,950
acquirer,offer period,Provided further that during the offer period such acquirer shall not be entitled to acquire any shares otherwise than under the open offer.,1591594726590.htmlTxt,173
acquirer,offer period," The acquirer shall disclose during the offer period every acquisition made by the acquirer or persons acting in concert with him of any shares of the target company in such form as may be specified, to each of the stock exchanges on which the shares of the target company are listed and to the target company at its registered office within twenty-four hours of such acquisition, and the stock exchanges shall forthwith disseminate such information to the public:",1591594726590.htmlTxt,725
acquirer,offer period,"Provided further that where the acquirer has specified conditions to which the open offer is subject in terms of clause (c) of sub-regulation (1) of regulation 23, no director representing the acquirer may be appointed to the board of directors of the target company during the offer period unless the acquirer has waived or attained such conditions and complies with the requirement of depositing cash in the escrow account.",1591594726590.htmlTxt,817
acquirer,persons acting in concert,"  No acquirer shall acquire shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, entitle them to exercise twenty-five per cent or more of the voting rights in such target company unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company in accordance with these regulations.",1591594726590.htmlTxt,111
acquirer,persons acting in concert," No acquirer, who together with persons acting in concert with him, has acquired and holds in accordance with these regulations shares or voting rights in a target company entitling them to exercise twenty-five per cent or more of the voting rights in the target company but less than the maximum permissible non-public shareholding, shall acquire within any financial year additional shares or voting rights in such target company entitling them to exercise more than five per cent of the voting rights, unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company in accordance with these regulations:",1591594726590.htmlTxt,117
acquirer,persons acting in concert," An acquirer and persons acting in concert with him, who have made a public announcement under this regulation to acquire shares of a target company shall",1591594726590.htmlTxt,174
acquirer,persons acting in concert,"  The open offer for acquiring shares to be made by the acquirer and persons acting in concert with him under regulation 3 and regulation 4 shall be for at least twenty six per cent of total shares of the target company, as of tenth working day from the closure of the tendering period:",1591594726590.htmlTxt,183
acquirer,persons acting in concert," The open offer made under regulation 6 shall be for acquisition of at least such number of shares as would entitle the holder thereof to exercise an additional ten per cent of the 19[voting rights in] the target company, and shall not exceed such number of shares as would result in the post-acquisition holding of the acquirer and persons acting in concert with him exceeding the maximum permissible non- public shareholding applicable to such target company:",1591594726590.htmlTxt,190
acquirer,persons acting in concert," In the event the shares accepted in the open offer were such that the shareholding of the acquirer taken together with persons acting in concert with him pursuant to completion of the open offer results in their shareholding exceeding the maximum permissible non-public shareholding, the acquirer shall be required to bring down the non-public shareholding to the level specified and within the time permitted under Securities Contract (Regulation) Rules, 1957.",1591594726590.htmlTxt,194
acquirer,persons acting in concert," Where the acquirer has acquired or agreed to acquire whether by himself or through or with persons acting in concert with him any shares or voting rights in the target company during the offer period, whether by subscription or purchase, at a price higher than the offer price, the offer price shall stand revised to the highest price paid or payable for any such acquisition:",1591594726590.htmlTxt,230
acquirer,persons acting in concert," Where the acquirer or persons acting in concert with him acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price under these regulations, the acquirer and persons acting in concert shall pay the difference between the highest acquisition price and the offer price, to all the shareholders whose shares were accepted in the open offer, within sixty days from the date of such acquisition:",1591594726590.htmlTxt,236
acquirer,persons acting in concert,"Provided that where any shares have been acquired or agreed to be acquired by the acquirer and persons acting in concert with him during the fifty-two weeks immediately preceding the date of public announcement constitute more than ten per cent of the voting rights in the target company and has been paid for in cash, the open offer shall entail an option to the shareholders to require payment of the offer price in cash, and a shareholder who has not exercised an option in his acceptance shall be deemed to have opted for receiving the offer price in cash:",1591594726590.htmlTxt,254
acquirer,persons acting in concert, name and identity of the acquirer and persons acting in concert with him;,1591594726590.htmlTxt,483
acquirer,persons acting in concert," The acquirer shall disclose during the offer period every acquisition made by the acquirer or persons acting in concert with him of any shares of the target company in such form as may be specified, to each of the stock exchanges on which the shares of the target company are listed and to the target company at its registered office within twenty-four hours of such acquisition, and the stock exchanges shall forthwith disseminate such information to the public:",1591594726590.htmlTxt,725
acquirer,persons acting in concert,Provided that the acquirer and persons acting in concert with him shall not acquire or sell any shares of the target company during the period between three working days prior to the commencement of the tendering period and until the expiry of the tendering period.,1591594726590.htmlTxt,728
acquirer,persons acting in concert,"  Where an open offer is made conditional upon minimum level of acceptances, the acquirer and persons acting in concert with him shall not acquire, during the offer period, any shares in the target company except under the open offer and any underlying agreement for the sale of shares of the target company pursuant to which the open offer is made.",1591594726590.htmlTxt,753
acquirer,persons acting in concert," The open offer made under sub-regulation (1) shall be for such number of shares which, when taken together with shares held by such acquirer along with persons acting in concert with him, shall be at least equal to the holding of the acquirer who has made the first public announcement, including the number of shares proposed to be acquired by him under the offer and any underlying agreement for the sale of shares of the target company pursuant to which the open offer is made.",1591594726590.htmlTxt,756
