,def,term
31,"“compliance officer” means any senior officer, designated so and reporting to the board of directors or head of the organization in case board is not there, who is financially literate and is capable of appreciating requirements for legal and regulatory compliance under these regulations and who shall be responsible for compliance of policies, procedures, maintenance of records, monitoring adherence to the rules for the preservation of unpublished price sensitive information, monitoring of trades and the implementation of the codes specified in these regulations under the overall supervision of the board of directors of the listed company or the head of an organization, as the case may be. 1[explanation – for the purpose of this regulation, “financially literate” shall mean a person who has the ability to read and understand basic financial statements i.e. balance sheet, profit and loss account, and statement of cash flows]; ",compliance officer
32,"""connected person"" means,- any person who is or has during the six months prior to the concerned act been associated with a company, directly or indirectly, in any capacity including by reason of frequent communication with its officers or by being in any contractual, fiduciary or employment relationship or by being a director, officer or an employee of the company or holds any position including a professional or 1 inserted by securities and exchange board of india (prohibition of insider trading) regulations, 2018 (w.e.f. april 01, 2019) business relationship between himself and the company whether temporary or permanent, that allows such person, directly or indirectly, access to unpublished price sensitive information or is reasonably expected to allow such access.  without prejudice to the generality of the foregoing, the persons falling within the following categories shall be deemed to be connected persons unless the contrary is established, -  an immediate relative of connected persons specified in clause ; or  a holding company or associate company or subsidiary company; or an intermediary as specified in section 12 of the act or an employee or director thereof; or  an investment company, trustee company, asset management company or an employee or director thereof; or  an official of a stock exchange or of clearing house or corporation; or a member of board of trustees of a mutual fund or a member of the board of directors of the asset management company of a mutual fund or is an employee thereof; or  a member of the board of directors or an employee, of a public financial institution as defined in section 2 (72) of the companies act, 2013; or an official or an employee of a self-regulatory organization recognised or authorized by the board; or a banker of the company; or a concern, firm, trust, hindu undivided family, company or association of persons wherein a director of a company or his immediate relative or banker of the company, has more than ten per cent. of the holding or interest; the company that is expected to put him in possession of unpublished price sensitive information. immediate relatives and other categories of persons specified above are also presumed to be connected persons but such a presumption is a deeming legal fiction and is rebuttable. this definition is also intended to bring into its ambit persons who may not seemingly occupy any position in a company but are in regular touch with the company and its officers and are involved in the know of  the company’s operations. it is intended to bring within its ambit those who would have access to or could access unpublished price sensitive information about any company or class of companies by virtue of any connection that would put them in possession of unpublished price sensitive information.  ",connected person
33,"""generally available information"" means information that is accessible to the public on a non-discriminatory basis; that it is easier to crystallize and appreciate what unpublished price sensitive information is.  information published on the website of a stock exchange, would ordinarily be considered generally available.   ",generally available information
34,"“immediate relative” means a spouse of a person, and includes parent, sibling, and child of such person or of the spouse, any of whom is either dependent financially on such person, or consults such person in taking decisions relating to trading in securities; become connected persons for purposes of these regulations. indeed, this is a rebuttable presumption. ",immediate relative
35,"""insider"" means any person who is: i)  a connected person; or  ii)  in possession of or having access to unpublished price sensitive information;  anyone in possession of or having access to unpublished price sensitive information should be considered an “insider” regardless of how one came in possession of or had access to such information. various circumstances are provided for such a person to demonstrate that he has not indulged in insider trading. therefore, this definition is intended to bring within its reach any person who is in receipt of or has access to unpublished price sensitive information. the onus of showing that a certain person was in possession of or had access to unpublished price sensitive information at the time of trading would, therefore, be on the person leveling the charge after which the person who has traded when in possession of or having access to unpublished price sensitive information may demonstrate that he was not in such possession or that he has not traded or or he could not access or that his trading when in possession of such information was squarely covered by the exonerating circumstances.   ",insider
36,"""promoter"" shall have the meaning assigned to it under the securities and exchange board of india (issue of capital and disclosure requirements) regulations, 2[2018] or any modification thereof; ",promoter
37,"3[""promoter group"" shall have the meaning assigned to it under the securities and exchange board of india (issue of capital and disclosure requirements) regulations, 2018 or any modification thereof;] 4[(5[hb]) “proposed to be listed” shall include securities of an unlisted company: if such unlisted company has filed offer documents or other documents, as the case may be, with the board, stock exchangeor registrar of companies in connection with the listing; or  2 substituted for the number “2009” by securities and exchange board of india (prohibition of insider trading) regulations, 2018 (w.e.f. april 01, 2019)   3 inserted by securities and exchange board of india (prohibition of insider trading) regulations, 2019 (w.e.f. january 21, 2019) 4 inserted by securities and exchange board of india (prohibition of insider trading) regulations, 2018 (w.e.f. april 01, 2019) 5 re-numbered by securities and exchange board of india (prohibition of insider trading) regulations, 2019 (w.e.f. january 21, 2019) if such unlisted company is getting listed pursuant to any merger or amalgamation and has filed a copy of such scheme of merger or amalgamation under the companies act, 2013;] ",promoter group
38,"""securities"" shall have the meaning assigned to it under the securities contracts act, 1956 (42 of 1956) or any modification thereof except units of a mutual fund;  ",securities
39,"""specified"" means specified by the board in writing; ",specified
40,"“takeover regulations” means the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011 and any amendments thereto; ",takeover regulations
41,"""trading"" means and includes subscribing, buying, selling, dealing, or agreeing to subscribe, buy, sell, deal in any securities, and ""trade"" shall be construed accordingly ; 15g of the act employs the term 'dealing in securities', it is intended to widely define the term “trading” to include dealing. such a construction is intended to curb the activities based on unpublished price sensitive information which are strictly not buying, selling or subscribing, such as pledging etc when in possession of unpublished price sensitive information.   ",trading
42,“trading day” means a day on which the recognized stock exchanges are open for trading; ,trading day
43,"""unpublished price sensitive information"" means any information, relating to a company or its securities, directly or indirectly, that is not generally available which upon becoming generally available, is likely to materially affect the price of the securities and shall, ordinarily including but not restricted to, information relating to the following: – financial results; dividends; change in capital structure;  mergers, de-mergers, acquisitions, delistings, disposals and expansion of business and such other transactions;  changes in key managerial personnel. 6[***].  not generally available would be unpublished price sensitive information if it is likely to materially affect the price upon coming into the public domain. the types of matters that would ordinarily give rise to unpublished price sensitive information have been listed above to give illustrative guidance of unpublished price sensitive information.  (2) words and expressions used and not defined in these regulations but defined in the securities and exchange board of india act, 1992 (15 of 1992), the securities contracts act, 1956 (42 of 1956), the depositories act, 1996 (22 of 1996) or the companies act, 2013 (18 of 2013) and rules and regulations made thereunder shall have the meanings respectively assigned to them in those legislation. ",unpublished price sensitive information
44,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); ",act
45,"“body corporate” shall have the meaning assigned to it under sub-section (11) of       page 2 of 62  section 2 of the companies act, 2013 (18 of 2013) as amended from time to time; ",body corporate
46,"“certificate” means a certificate of registration issued by the board; “change of status or constitution” in relation to a portfolio manager─ means any change in its status or constitution of whatsoever nature; and without prejudice to generality of sub-clause , includes– amalgamation, demerger, consolidation or any other kind of corporate restructuring falling within the scope of section 230 of the companies act, 2013 (18 of 2013) or the corresponding provision of any other law for the time being in force; and any change in control over the body corporate; “change in control”, in relation to a portfolio manager being a body corporate, shall be construed with reference to : ─ the definition of control in terms of regulation 2(1)of sebi (substantial acquisition of shares and takeovers) regulations, 2011 as amended from time to time, if its shares are listed on any recognized stock exchange; in any other case, change in the controlling interest in the body corporate; explanation. ─ for the purpose of sub-clause , the expression “controlling interest” means,  an interest, whether direct or indirect, to the extent of at least fifty-one percent of voting rights in the body corporate; right to appoint majority of the directors or to control the management directly or indirectly. ",certificate
47,"“chartered accountant"" means a chartered accountant as defined in clause of sub-section (1) of section 2 of the chartered accountants act, 1949 (38 of 1949) and who has obtained a certificate of practice under sub-section (1) of section 6 of that act; page 3 of 62  ",chartered accountant
48,"“discretionary portfolio manager” means a portfolio manager who under a contract relating to portfolio management, exercises or may exercise, any degree of discretion as to the investment of funds or management of the portfolio of securities of the client, as the case may be; ",discretionary portfolio manager
49,"“eligible fund manager” shall have the same meaning as assigned to it in                                 sub-section (4) of section 9a of the income-tax act, 1961; ",eligible fund manager
50,"“eligible investment fund” shall have the same meaning as assigned to it in                           sub-section (3) of section 9a of the income-tax act, 1961; ",eligible investment fund
51,"""form"" means a form specified in schedule i; ",form
52,"“goods” means the goods notified by the central government under clause of        section 2 of the securities contracts act, 1956 and forming the underlying of any commodity derivative; ",goods
53,"""inspecting authority"" means one or more persons appointed by the board to exercise ",inspecting authority
54,"“acquirer” means any person who, directly or indirectly, acquires or agrees to acquire whether by himself, or through, or with persons acting in concert with him, shares or voting rights in, or control over a target company; ",acquirer
55,"“acquisition” means, directly or indirectly, acquiring or agreeing to acquire shares or voting rights in, or control over, a target company; ",acquisition
56,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); ",act
57,“board” means the securities and exchange board of india established under section 3 of the act; ,board
58,"“control” includes the right to appoint majority of the directors or to control the management or policy decisions exercisable by a person or persons acting individually or in concert, directly or indirectly, including by virtue of their shareholding or management rights or shareholders agreements or voting agreements or in any other manner:  provided that a director or officer of a target company shall not be considered to be in control over such target company, merely by virtue of holding such position;  ",control
59,"“convertible security” means a security which is convertible into or ex-changeable with equity shares of the issuer at a later date, with or without the option of the holder of the security, and includes convertible debt instruments and convertible preference shares; 2 proviso substituted by the sebi (substantial acquisition of shares and takeovers) (third amendment) regulations, 2015, w.e.f. 14-8-2015. prior to its substitution, said proviso, as inserted by the sebi (listing of specified securities on institutional trading platform) regulations, 2013, w.e.f. 8-10-2013, read as under : “provided that these regulations shall not apply to direct and indirect acquisition of shares or voting rights in, or control over a company listed on the institutional trading platform of a recognized stock exchange” page 3 of 69 ",convertible security
60,"“disinvestment” means the direct or indirect sale by the central government or any state government or by a government company, as the case may be, of shares or voting rights in, or control over, a target company, which is a public sector undertaking; ",disinvestment
61,"“enterprise value” means the value calculated as market capitalization of a company plus debt, minority interest and preferred shares, minus total cash and cash equivalents; ",enterprise value
62,“financial year” means the period of twelve months commencing on the first day of the month of april; ,financial year
63,"“frequently traded shares” means shares of a target company, in which the traded turnover on any stock exchange during the twelve calendar months preceding the calendar month in which the public announcement 3[is required to be made under these regulations], is at least ten per cent of the total number of shares of such class of the target company:  provided that where the share capital of a particular class of shares of the target company is not identical throughout such period, the weighted average number of total shares of such class of the target company shall represent the total number of shares; 4[“fugitive economic offender” shall mean an individual who is declared a fugitive economic offender under section 12 of the fugitive economic offenders act, 2018 (17 of 2018)] ",frequently traded shares
64,"“identified date” means the date falling on the tenth working day prior to the commencement of the tendering period, for the purposes of determining the shareholders to whom the letter of offer shall be sent;  ",identified date
65,"“immediate relative” means any spouse of a person, and includes parent, brother, sister or child of such person or of the spouse;  ",immediate relative
66,"“listing agreement” means the agreement with the stock exchange governing the conditions of listing of shares of the target company; 3  substituted by the sebi (substantial acquisition of shares and takeovers) (second amendment) regulations, 2018, w.e.f. 11-09-2018. prior to the amendment, it read as “is made”. 4 inserted by the sebi (substantial acquisition of shares and takeovers) (second amendment) regulations, 2018, w.e.f. 11-09-2018. page 4 of 69 ",listing agreement
67,"5[“listing regulations” means the securities and exchange board of india (listing obligations and disclosure requirements) regulations, 2015.]  ",listing regulations
68,“manager to the open offer” means a merchant banker referred to in regulation 12;  ,manager to the open offer
69,"“maximum permissible non-public shareholding” means such percentage shareholding in the target company excluding the minimum public shareholding required under the securities contracts rules, 1957; ",maximum permissible non-public shareholding
70,"“offer period” means the period between the date of entering into an agreement, formal or informal, to acquire shares, voting rights in, or control over a target company requiring a public announcement, or the date of the public announcement, as the case may be, and the date on which the payment of consideration to shareholders who have accepted the open offer is made, or the date on which open offer is withdrawn, as the case may be; ",offer period
71,"“persons acting in concert” means,—   (1)  persons who, with a common objective or purpose of acquisition of shares or voting rights in, or exercising control over a target company, pursuant to an agreement or understanding, formal or informal, directly or indirectly co-operate for acquisition of shares or voting rights in, or exercise of control over the target company.   (2)  without prejudice to the generality of the foregoing, the persons falling within the following categories shall be deemed to be persons acting in concert with other persons within the same category, unless the contrary is established,—  a company, its holding company, subsidiary company and any company under the same management or control; a company, its directors, and any person entrusted with the management of the company; 5 inserted by the sebi (substantial acquisition of shares and takeovers) (second amendment) regulations, 2018, w.e.f. 11-09-2018. page 5 of 69 directors of companies referred to in item and of this sub-clause and associates of such directors; promoters and members of the promoter group; immediate relatives; a mutual fund, its sponsor, trustees, trustee company, and asset management company; a collective investment scheme and its collective investment management company, trustees and trustee company; a venture capital fund and its sponsor, trustees, trustee company and asset management company; 6[an alternative investment fund and its sponsor, trustees, trustee company and manager;] 7[***] a merchant banker and its client, who is an acquirer; a portfolio manager and its client, who is an acquirer; banks, financial advisors and stock brokers of the acquirer, or of any company which is a holding company or subsidiary of the acquirer, and where the acquirer is an individual, of the immediate relative of such individual:          provided that this sub-clause shall not apply to a bank whose sole role is that of providing normal commercial banking services or activities in relation to an open offer under these regulations;  an investment company or fund and any person who has an interest in such investment company or fund as a shareholder or unitholder having not less than 10 per cent of the paid-up capital of the investment company or unit 6 inserted by the sebi (alternative investment funds) regulations, 2012, w.e.f. 21-5-2012. 7 omitted by the sebi (foreign portfolio investors) regulations, 2014, w.e.f. 7-1-2014. prior to its omission, item read as under : ""a foreign institutional investor and its sub-accounts;"" page 6 of 69 capital of the fund, and any other investment company or fund in which such person or his associate holds not less than 10 per cent of the paid-up capital of that investment company or unit capital of that fund:   provided that nothing contained in this sub-clause shall apply to holding of units of mutual funds registered with the board;  explanation.— for the purposes of this clause “associate” of a person means,—  any immediate relative of such person;   trusts of which such person or his immediate relative is a trustee;   partnership firm in which such person or his immediate relative is a partner; and   members of hindu undivided families of which such person is a coparcener; ",persons acting in concert
72,"8[“postal ballot” means a postal ballot as provided for under rule 22 of the companies (management and administration) rules, 2014 made under the companies act, 2013;] “promoter” has the same meaning as in the securities and exchange board of india (issue of capital and disclosure requirements) regulations, 2009 and includes a member of the promoter group; “promoter group” has the same meaning as in the securities and exchange board of india (issue of capital and disclosure requirements) regulations, 2009; ",postal ballot
73,"“public sector undertaking” means a target company in which, directly or indirectly, majority of shares or voting rights or control is held by the central government or any state government or governments, or partly 8  substituted by the sebi (substantial acquisition of shares and takeovers) (second amendment) regulations, 2018, w.e.f. 11-09-2018. prior to the amendment, the clause read as: ",public sector undertaking
74,"““postal ballot” means a postal ballot as provided for under the companies (passing of the resolution by postal ballot) rules, 2001 made under the companies act, 1956 (1 of 1956)” page 7 of 69 by the central government and partly by one or more state governments; ",“postal ballot
75,"“shares” means shares in the equity share capital of a target company carrying voting rights, and includes any security which entitles the holder thereof to exercise voting rights;  explanation.— for the purpose of this clause shares will include all depository receipts carrying an entitlement to exercise voting rights in the target company; ",shares
76,“specified” means as specified by the board; ,specified
77,"“state-level financial institution” means a financial corporation established under section 3 or section 3a and institutions notified under section 46 of the state financial corporations act, 1951 (63 of 1951), and includes a development corporation established as a company by a state government with the object of development of industries or agricultural activities in the state; ",state-level financial institution
78,"“stock exchange” means a stock exchange which has been granted recognition under section 4 of the securities contracts act, 1956 (42 of 1956); ",stock exchange
79,"“target company” means a company and includes a body corporate or corporation established under a central legislation, state legislation or provincial legislation for the time being in force, whose shares are listed on a stock exchange;  ",target company
80,“tendering period” means the period within which shareholders may tender their shares in acceptance of an open offer to acquire shares made under these regulations; ,tendering period
81,“volume weighted average market price” means the product of the number of equity shares traded on a stock exchange and the price of each equity share divided by the total number of equity shares traded on the stock exchange;  page 8 of 69 ,volume weighted average market price
82,“volume weighted average price” means the product of the number of equity shares bought and price of each such equity share divided by the total number of equity shares bought; ,volume weighted average price
83,"“weighted average number of total shares” means the number of shares at the beginning of a period, adjusted for shares cancelled, bought back or issued during the aforesaid period, multiplied by a time-weighing factor; ",weighted average number of total shares
84,"9[“wilful defaulter” means any person who is categorized as a wilful defaulter by any bank or financial institution or consortium thereof, in accordance with the guidelines on wilful defaulters issued by the reserve bank  of india and includes any person whose director, promoter or partner is categorized as such;] ",wilful defaulter
85,"10[]   “working day” means any working day of the board.  (2)  all other expressions unless defined herein shall have the same meaning as have been assigned to them under the act or the securities contracts act, 1956, (42 of 1956) or the 11 [companies act, 2013 (18 of 2013)], or any statutory modification or re-enactment thereto, as the case may be. ",working day
86,“board” means the securities and exchange board of india established under section 3 of the act; ,board
87,“certificate” means a certificate of registration granted by the board under these regulations; ,certificate
88,“client” means a person seeking to do/has done his kyc through intermediary with kra; ‘‘inspecting authority’’ means any one or more person appointed by the board to ,client
89,"""act"" means the securities contracts act, 1956 (42 of 1956); ""associate"" in relation to a person shall include another person: who, directly or indirectly, by himself, or in combination with other persons, exercises control over the first person; who holds control of atleast twenty percent of the total voting power of the first person; who is a holding company or a subsidiary company of the first person who is a relative of the first person; who is a member of a hindu undivided family wherein the first person is also a member; such other cases where the board is of the view that a person shall be considered as an associate based on the facts and factors including the extent of control, independence, conflict of interest; ",act
90,"""board"" means the securities and exchange board of india established under the provisions of section 3 of the securities and exchange board of india act, 1992 (15 of 1992); ",board
91,"""clearing corporation"" means an entity that is established to undertake the activity of clearing and settlement of trades in securities or other instruments or products that are dealt with or traded on a recognized stock exchange and includes a clearing house; ",clearing corporation
92,"“clearing member” means a person having clearing rights in any recognized clearing corporation and includes a clearing member as defined in clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (stock brokers and sub- brokers) regulations, 1992 ""company"" shall mean a company as defined in section 3 of the companies act, 2013; 1(***) ",clearing member
93,"""control"" shall have the same meaning as assigned to it under clause of sub- regulation (1) of regulation 2 of the securities and exchange  board of india (substantial acquisition of shares and takeovers) regulations, 2011 or any modification thereof; ",control
94,"""governing board"" means the board of directors of a recognised stock  exchange or a recognised clearing corporation; ",governing board
95,"""key management personnel"" includes a person serving as head of any department or in such senior executive position that stands higher in hierarchy to the headof the departmentin the recognised stock exchange or the recognised clearing corporation, or any person who directly reports to chief executive officer or to the director on the governing board of the recognised stock exchange or recognised clearing corporation, or any person upto two levels below the chief executive 1 clause omitted by the securities contracts (stock exchanges and clearing corporations) regulations, 2019, w.r.e.f. 03-10-2018. prior to its omission, it read as “”commodity derivatives exchange"" means a recognized stock exchange which assists, regulates or controls the business of buying, selling or dealing in commodity derivatives and option in securities with the prior approval of the board.” officer or managing director, or any other person as may be identified by its nomination and remuneration committee; ",key management personnel
96,"""netting"" means the determination by clearing corporation of net payment or delivery obligations of the clearing members of a recognised clearing corporation by setting off or adjustment of the inter- se obligations or claims arising out of buying and selling of securities, including the claims and obligations arising out of the determination by the clearing corporation or stock exchange, on the insolvency, winding-up, liquidation or resolution of any clearing member or trading member or client or such other circumstances as  the clearing corporation may specify in its bye-laws, of the transactions admitted for settlement at a future date, so that only a net claim be demanded, or a net obligation be owed; ",netting
97,"""novation"" means the act of one or more recognised clearing corporations interposing between the parties of every trade, so as to be a legal counterparty; ""persons acting in concert"" in the context of acquisition or holding of  shares or voting rights or control shall mutatis mutandis have the same meaning as assigned to it in clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011 or any amendments thereof; ",novation
98,"“public"" includes any member or section of the public but does not include any trading member or clearing member or their associates and agents; ",public
99,"""public interest director"" means an independent director representing the interests of investors in securities market and who is not having any association, directly or indirectly, which in the opinion of the board, is in conflict with his role; ",public interest director
100,"""recognised clearing corporation"" means a clearing corporation which is recognised by the board under section 4 read with section 8a of the act; ",recognised clearing corporation
101,“recognised stock exchange” means a stock exchange which is recognized by the board under section 4 of the act. ,recognised stock exchange
102,"""regulatory department"" means a department of a recognised stock exchange or a recognised clearing corporation which is entrusted with regulatory powers and duties and includes such department as may be specified by the board; ",regulatory department
103,"""rules"" means the securities contracts rules, 1957; ",rules
104,"""shareholder director"" means a director who represents the interest of shareholders, and elected or nominated by such shareholders who are not trading members or clearing members, as the case may be, or their associates and agents; ",shareholder director
105,"""trading member"" means a person having trading rights in any recognized stock exchange and includes a stock broker. (2) words and expressions used and not defined in these regulations but defined in the act, the companies act, 2013, the securities and exchange board of india act, 1992, the depositories act, 1996 or any rules or regulations made thereunder shall have the same meanings respectively assigned to them in those acts, rules or regulations made thereunder or any statutory modification or re-enactment thereto, as the case may be. ",trading member
106,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); 2 “associate” of any person 1[shall be as defined under the companies act, 2013 or under the applicable accounting standards and shall also include following],-  any person controlled, directly or indirectly, by the said person;   any person who controls, directly or indirectly, the said person;    where the said person is a company or a body corporate, any person who is designated as promoterof the company or body corporate and any  other company or body corporate with the same promoter;  where the said person is an individual, any relative of the individual;   2[***]  3[***]  4[***]  5[***] ",act
107,"""board"" means the securities and exchange board of india established under section 3 of the act; ",board
108,"“body corporate” shall have  the meaning assigned to it in or under sub-section (11) of section 2 of the companies act, 2013; ",body corporate
109,"“bonus issue” means additional units allotted to the unit holders as on the record date fixed for the said purpose, without any cost to the unit holder; ",bonus issue
110,“certificate” means a certificate of registration granted under these regulations; ,certificate
111,"""change in control""  means,- 1 substituted for ""includes"" by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016 2 omitted, by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016. prior to its omission, sub-clause read as under : “where the said person is a company or a body corporate or an llp, its group companies;” 3 omitted, by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016. prior to its omission, sub-clause read as under :  “companies or llps under the same management;” 4 omitted, by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016. prior to its omission, sub-clause read as under :   “where the said person is a reit, related parties to the reit;” 5 omitted, by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016. prior to its omission, sub-clause read as under :  “any company or llp or body corporate in which the person or its directoror partnerhold, either individually or collectively, more than fifteen percent of its paid-up equity share capital or partnership interest, as the case may be;” 3 in case of a company or body corporate, change in control where 'control' shall have the meaning as provided in sub-section (27) of section 2 of the companies act, 2013; in any other case, change in the controlling interest;       explanation.─ for the purpose of sub-clause , the expression “controlling interest” means an interest, whether direct or indirect, to the extent of 6[not less] than fifty percent of voting rights or interest; ",change in control
112,"“company” means a company as defined under sub-section (20) of section 2 of the companies act, 2013; ",company
113,“completed property” means property for which occupancy certificate has been received from the relevant authority; ,completed property
114,"“credit rating agency” means a credit rating agency registered with the board under the securities and exchange board of india (credit rating agencies) regulations, 1999; ",credit rating agency
